dataset,window_len,pipeline,architecture,condition,fold,seed,accuracy,balanced_accuracy,f1_weighted,f1_macro,precision_weighted,recall_weighted,precision_macro,recall_macro,cohen_kappa,mcc,ece,log_loss,mean_confidence,std_confidence,mean_entropy,std_entropy,train_time_s,infer_time_s,data_load_time_s
home_har_data,1000,rv_w2000,CNN_LSTM,noBN,-1,42,0.3432,0.3432,0.3281,0.3281,0.4064,0.3432,0.4064,0.3432,0.2338,0.2444,0.4888,3.6207,0.832,0.19,0.4322,0.4236,13338.42,33.3281,435.901
home_har_data,1000,rv_w2000,Conv1D,noBN,-1,42,0.3198,0.3198,0.3006,0.3006,0.3901,0.3198,0.3901,0.3198,0.2064,0.2168,0.2391,1.836,0.5493,0.2295,1.0733,0.4799,5280.02,13.1719,435.901
home_har_data,1000,rv_w2000,MLP,noBN,-1,42,0.1429,0.1429,0.0357,0.0357,0.0204,0.1429,0.0204,0.1429,0.0,0.0,0.0004,1.9459,0.1432,0.0,1.9459,0.0,6947.17,6.9219,435.901
home_har_data,1000,rv_w200,CNN_LSTM,noBN,-1,42,0.5,0.5,0.4173,0.4173,0.3764,0.5,0.3764,0.5,0.4167,0.4414,0.4512,5.725,0.951,0.1102,0.1244,0.2302,11767.89,29.0938,506.943
home_har_data,1000,rv_w200,Conv1D,noBN,-1,42,0.4645,0.4645,0.3945,0.3945,0.4647,0.4645,0.4647,0.4645,0.3753,0.3928,0.3844,4.1201,0.8483,0.1872,0.3617,0.3809,6248.67,17.2188,506.943
home_har_data,1000,rv_w200,MLP,noBN,-1,42,0.35,0.35,0.2791,0.2791,0.2874,0.35,0.2874,0.35,0.2416,0.2659,0.1077,2.7866,0.3382,0.2345,1.5189,0.5578,5841.58,8.6875,506.943
home_har_data,1000,rv_w20,CNN_LSTM,noBN,-1,42,0.4832,0.4832,0.4109,0.4109,0.3848,0.4832,0.3848,0.4832,0.3971,0.4269,0.476,7.0644,0.958,0.0994,0.1055,0.2009,11938.86,36.6875,934.447
home_har_data,1000,rv_w20,Conv1D,noBN,-1,42,0.5292,0.5292,0.4557,0.4557,0.4972,0.5292,0.4972,0.5292,0.4508,0.4745,0.391,4.2584,0.9202,0.1326,0.2047,0.2682,5558.02,11.0156,934.447
home_har_data,1000,rv_w20,MLP,noBN,-1,42,0.3514,0.3514,0.322,0.322,0.3823,0.3514,0.3823,0.3514,0.2433,0.256,0.5111,5.9424,0.8603,0.1838,0.3752,0.4289,7346.27,10.9688,934.447
home_har_data,2000,rv_w2000,CNN_LSTM,noBN,-1,42,0.3523,0.3523,0.3162,0.3162,0.3539,0.3523,0.3539,0.3523,0.2444,0.2532,0.5059,3.6031,0.8582,0.18,0.3644,0.3956,11292.8,27.3438,1094.642
home_har_data,2000,rv_w2000,Conv1D,noBN,-1,42,0.2905,0.2905,0.2507,0.2507,0.3676,0.2905,0.3676,0.2905,0.1723,0.1805,0.3939,3.2478,0.6845,0.2411,0.8381,0.5401,3097.84,11.7969,1094.642
home_har_data,2000,rv_w2000,MLP,noBN,-1,42,0.1429,0.1429,0.0357,0.0357,0.0204,0.1429,0.0204,0.1429,0.0,0.0,0.0009,1.9459,0.1438,0.0,1.9459,0.0,3881.25,8.7812,1094.642
home_har_data,2000,rv_w200,CNN_LSTM,noBN,-1,42,0.5251,0.5251,0.4452,0.4452,0.5421,0.5251,0.5421,0.5251,0.4459,0.4682,0.429,4.8134,0.9541,0.1066,0.1229,0.2247,12097.08,23.7812,1410.544
home_har_data,2000,rv_w200,Conv1D,noBN,-1,42,0.5125,0.5125,0.4798,0.4798,0.5524,0.5125,0.5524,0.5125,0.4313,0.4494,0.3263,2.9719,0.835,0.1897,0.4436,0.4194,5273.36,19.0469,1410.544
home_har_data,2000,rv_w200,MLP,noBN,-1,42,0.1429,0.1429,0.0357,0.0357,0.0204,0.1429,0.0204,0.1429,0.0,0.0,0.0008,1.9459,0.1437,0.0,1.9459,0.0,5152.67,15.1562,1410.544
home_har_data,2000,rv_w20,CNN_LSTM,noBN,-1,42,0.4643,0.4643,0.3962,0.3962,0.378,0.4643,0.378,0.4643,0.375,0.4064,0.4738,5.6149,0.9368,0.1182,0.1657,0.2463,8332.53,18.0,656.912
home_har_data,2000,rv_w20,Conv1D,noBN,-1,42,0.5039,0.5039,0.4452,0.4452,0.4719,0.5039,0.4719,0.5039,0.4212,0.443,0.3452,3.2639,0.8491,0.1722,0.4108,0.3812,3607.5,14.5312,656.912
home_har_data,2000,rv_w20,MLP,noBN,-1,42,0.3041,0.3041,0.2824,0.2824,0.3519,0.3041,0.3519,0.3041,0.1881,0.1982,0.5239,6.4837,0.8279,0.2069,0.4618,0.4784,3440.23,5.2188,656.912
home_har_data,500,rv_w2000,CNN_LSTM,noBN,-1,42,0.468,0.468,0.4327,0.4327,0.5272,0.468,0.5272,0.468,0.3793,0.3923,0.4256,3.9533,0.8935,0.1626,0.2677,0.3561,12622.27,23.3125,672.015
home_har_data,500,rv_w2000,Conv1D,noBN,-1,42,0.3552,0.3552,0.3292,0.3292,0.3987,0.3552,0.3987,0.3552,0.2478,0.2556,0.1615,2.3552,0.4554,0.2531,1.2777,0.5777,4586.61,11.0,672.015
home_har_data,500,rv_w2000,MLP,noBN,-1,42,0.1429,0.1429,0.0357,0.0357,0.0204,0.1429,0.0204,0.1429,0.0,0.0,0.0005,1.9459,0.1434,0.0,1.9459,0.0,6379.42,5.3125,672.015
home_har_data,500,rv_w200,CNN_LSTM,noBN,-1,42,0.5079,0.5079,0.4293,0.4293,0.4888,0.5079,0.4888,0.5079,0.4259,0.4545,0.4512,7.6929,0.9588,0.104,0.1045,0.2166,11643.69,35.875,745.223
home_har_data,500,rv_w200,Conv1D,noBN,-1,42,0.446,0.446,0.3791,0.3791,0.4693,0.446,0.4693,0.446,0.3537,0.374,0.4494,5.3399,0.8952,0.156,0.2644,0.3364,5429.05,14.7969,745.223
home_har_data,500,rv_w200,MLP,noBN,-1,42,0.1429,0.1429,0.0357,0.0357,0.0204,0.1429,0.0204,0.1429,0.0,0.0,0.0005,1.9459,0.1434,0.0,1.9459,0.0,8680.03,7.4688,745.223
home_har_data,500,rv_w20,CNN_LSTM,noBN,-1,42,0.5103,0.5103,0.4191,0.4191,0.3884,0.5103,0.3884,0.5103,0.4287,0.4551,0.4475,6.8523,0.9577,0.1057,0.1067,0.2232,12062.55,30.9688,448.553
home_har_data,500,rv_w20,Conv1D,noBN,-1,42,0.5074,0.5074,0.4301,0.4301,0.3987,0.5074,0.3987,0.5074,0.4253,0.4546,0.4198,6.5877,0.9272,0.1335,0.1711,0.2675,5664.39,17.3281,448.553
home_har_data,500,rv_w20,MLP,noBN,-1,42,0.3378,0.3378,0.3167,0.3167,0.4207,0.3378,0.4207,0.3378,0.2274,0.2405,0.5466,7.0682,0.8844,0.1608,0.2978,0.3506,6418.61,11.3594,448.553
home_occupation_data,1000,rv_w2000,CNN_LSTM,noBN,-1,42,0.9933,0.9933,0.9933,0.9933,0.9934,0.9933,0.9934,0.9933,0.9899,0.99,0.0028,0.0315,0.9961,0.0312,0.0132,0.0555,3837.56,5.0938,435.901
home_occupation_data,1000,rv_w2000,Conv1D,noBN,-1,42,0.9955,0.9955,0.9955,0.9955,0.9955,0.9955,0.9955,0.9955,0.9933,0.9933,0.0222,0.0412,0.9733,0.0698,0.0889,0.1928,2545.66,2.0,435.901
home_occupation_data,1000,rv_w2000,MLP,noBN,-1,42,0.9843,0.9843,0.9843,0.9843,0.9847,0.9843,0.9847,0.9843,0.9765,0.9767,0.0345,0.0844,0.9499,0.1264,0.1272,0.2829,2515.81,0.8125,435.901
home_occupation_data,1000,rv_w200,CNN_LSTM,noBN,-1,42,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0002,0.0002,0.9998,0.0021,0.001,0.009,3439.42,4.0469,506.943
home_occupation_data,1000,rv_w200,Conv1D,noBN,-1,42,0.9978,0.9978,0.9978,0.9978,0.9978,0.9978,0.9978,0.9978,0.9966,0.9967,0.0051,0.0093,0.9954,0.0249,0.0177,0.0679,3068.41,1.3906,506.943
home_occupation_data,1000,rv_w200,MLP,noBN,-1,42,0.9799,0.9799,0.9798,0.9798,0.981,0.9799,0.981,0.9799,0.9698,0.9704,0.0084,0.1188,0.9832,0.0689,0.0434,0.15,2629.03,1.2656,506.943
home_occupation_data,1000,rv_w20,CNN_LSTM,noBN,-1,42,0.9843,0.9843,0.9843,0.9843,0.985,0.9843,0.985,0.9843,0.9765,0.9769,0.0141,0.0544,0.9935,0.0383,0.0173,0.0838,5039.61,7.1875,934.447
home_occupation_data,1000,rv_w20,Conv1D,noBN,-1,42,0.9933,0.9933,0.9933,0.9933,0.9934,0.9933,0.9934,0.9933,0.9899,0.99,0.005,0.0177,0.9891,0.0555,0.03,0.1149,2755.77,3.1406,934.447
home_occupation_data,1000,rv_w20,MLP,noBN,-1,42,0.9553,0.9553,0.9551,0.9551,0.9606,0.9553,0.9606,0.9553,0.9329,0.9357,0.0311,0.2473,0.9841,0.0726,0.0388,0.1585,2241.08,0.8594,934.447
home_occupation_data,2000,rv_w2000,CNN_LSTM,noBN,-1,42,0.9865,0.9865,0.9865,0.9865,0.987,0.9865,0.987,0.9865,0.9797,0.98,0.0164,0.0565,0.9809,0.0379,0.0753,0.1028,3908.5,5.7812,1094.642
home_occupation_data,2000,rv_w2000,Conv1D,noBN,-1,42,0.9865,0.9865,0.9865,0.9865,0.987,0.9865,0.987,0.9865,0.9797,0.98,0.027,0.0394,0.969,0.0804,0.1019,0.1945,1692.27,2.6562,1094.642
home_occupation_data,2000,rv_w2000,MLP,noBN,-1,42,0.982,0.982,0.982,0.982,0.9822,0.982,0.9822,0.982,0.973,0.9731,0.0147,0.0525,0.9882,0.0618,0.0326,0.143,960.12,1.25,1094.642
home_occupation_data,2000,rv_w200,CNN_LSTM,noBN,-1,42,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0005,0.0005,0.9995,0.0053,0.002,0.019,3249.0,5.8438,1410.544
home_occupation_data,2000,rv_w200,Conv1D,noBN,-1,42,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0096,0.0107,0.9904,0.0379,0.039,0.0864,1760.06,2.4375,1410.544
home_occupation_data,2000,rv_w200,MLP,noBN,-1,42,0.9775,0.9775,0.9775,0.9775,0.9789,0.9775,0.9789,0.9775,0.9662,0.967,0.0216,0.1577,0.9962,0.029,0.0106,0.0739,1137.25,0.7969,1410.544
home_occupation_data,2000,rv_w20,CNN_LSTM,noBN,-1,42,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0004,0.0004,0.9996,0.003,0.0023,0.013,4128.11,10.2812,656.912
home_occupation_data,2000,rv_w20,Conv1D,noBN,-1,42,0.982,0.982,0.982,0.982,0.9829,0.982,0.9829,0.982,0.973,0.9734,0.012,0.0396,0.9735,0.0901,0.0652,0.1814,1558.39,1.6719,656.912
home_occupation_data,2000,rv_w20,MLP,noBN,-1,42,0.9324,0.9324,0.9317,0.9317,0.9438,0.9324,0.9438,0.9324,0.8986,0.9049,0.0614,0.5879,0.9917,0.0416,0.023,0.0948,914.45,0.5625,656.912
home_occupation_data,500,rv_w2000,CNN_LSTM,noBN,-1,42,0.9944,0.9944,0.9944,0.9944,0.9945,0.9944,0.9945,0.9944,0.9916,0.9917,0.0051,0.052,0.9996,0.0056,0.0024,0.0164,6907.36,6.3438,672.015
home_occupation_data,500,rv_w2000,Conv1D,noBN,-1,42,0.9855,0.9855,0.9855,0.9855,0.9859,0.9855,0.9859,0.9855,0.9783,0.9785,0.018,0.0598,0.9675,0.0944,0.0854,0.2072,4195.34,3.0781,672.015
home_occupation_data,500,rv_w2000,MLP,noBN,-1,42,0.9889,0.9889,0.9889,0.9889,0.9892,0.9889,0.9892,0.9889,0.9833,0.9834,0.026,0.0568,0.9659,0.0777,0.1069,0.1684,3288.27,2.7656,672.015
home_occupation_data,500,rv_w200,CNN_LSTM,noBN,-1,42,0.9866,0.9866,0.9866,0.9866,0.987,0.9866,0.987,0.9866,0.9799,0.9802,0.0118,0.0483,0.9939,0.0407,0.016,0.0757,5786.92,6.3438,745.223
home_occupation_data,500,rv_w200,Conv1D,noBN,-1,42,0.9889,0.9889,0.9888,0.9888,0.989,0.9889,0.989,0.9889,0.9833,0.9834,0.0069,0.0375,0.9867,0.0607,0.0331,0.1207,3571.69,3.9688,745.223
home_occupation_data,500,rv_w200,MLP,noBN,-1,42,0.9889,0.9889,0.9888,0.9888,0.9888,0.9889,0.9888,0.9889,0.9833,0.9833,0.0066,0.057,0.9901,0.0461,0.0311,0.1069,3323.25,1.3438,745.223
home_occupation_data,500,rv_w20,CNN_LSTM,noBN,-1,42,0.9588,0.9588,0.9586,0.9586,0.9633,0.9588,0.9633,0.9588,0.9381,0.9405,0.035,0.2,0.9927,0.0402,0.0191,0.0887,6082.52,7.6094,448.553
home_occupation_data,500,rv_w20,Conv1D,noBN,-1,42,0.9844,0.9844,0.9844,0.9844,0.9844,0.9844,0.9844,0.9844,0.9766,0.9766,0.0154,0.0651,0.9701,0.0788,0.09,0.1845,3040.62,3.875,448.553
home_occupation_data,500,rv_w20,MLP,noBN,-1,42,0.9576,0.9576,0.9575,0.9575,0.9605,0.9576,0.9605,0.9576,0.9365,0.938,0.0204,0.1077,0.978,0.084,0.0554,0.1882,3316.42,0.8906,448.553
office_har_data,1000,rv_w2000,CNN_LSTM,noBN,-1,42,0.8167,0.8208,0.8089,0.8158,0.8544,0.8167,0.8629,0.8208,0.7501,0.7643,0.1182,0.6284,0.9068,0.1453,0.2288,0.2976,1457.03,1.1562,435.901
office_har_data,1000,rv_w2000,Conv1D,noBN,-1,42,0.675,0.6827,0.651,0.659,0.7954,0.675,0.803,0.6827,0.5552,0.5946,0.0758,0.9204,0.682,0.1747,0.6566,0.3078,579.78,0.5312,435.901
office_har_data,1000,rv_w2000,MLP,noBN,-1,42,0.4667,0.4919,0.3946,0.4163,0.3563,0.4667,0.375,0.4919,0.2694,0.2943,0.2242,1.1611,0.3826,0.0833,1.1604,0.2215,347.73,0.25,435.901
office_har_data,1000,rv_w200,CNN_LSTM,noBN,-1,42,0.875,0.881,0.8802,0.8659,0.9116,0.875,0.8821,0.881,0.8332,0.8423,0.1115,0.6898,0.975,0.0822,0.0605,0.1589,1218.97,1.2031,506.943
office_har_data,1000,rv_w200,Conv1D,noBN,-1,42,0.9333,0.9394,0.9341,0.9304,0.9401,0.9333,0.9272,0.9394,0.9104,0.9121,0.0539,0.6459,0.9653,0.0737,0.1285,0.1635,532.23,0.3594,506.943
office_har_data,1000,rv_w200,MLP,noBN,-1,42,0.7417,0.7573,0.7264,0.7344,0.7811,0.7417,0.7823,0.7573,0.6521,0.6689,0.1581,2.235,0.806,0.2117,0.4521,0.4443,348.53,0.1719,506.943
office_har_data,1000,rv_w20,CNN_LSTM,noBN,-1,42,0.8167,0.8227,0.819,0.7983,0.8878,0.8167,0.8503,0.8227,0.7568,0.7788,0.1537,0.7273,0.9641,0.0901,0.0929,0.1798,1846.5,1.2344,934.447
office_har_data,1000,rv_w20,Conv1D,noBN,-1,42,0.9417,0.9477,0.9426,0.938,0.9494,0.9417,0.9344,0.9477,0.9216,0.9236,0.0483,0.3589,0.9736,0.058,0.1028,0.1383,778.03,0.5781,934.447
office_har_data,1000,rv_w20,MLP,noBN,-1,42,0.7917,0.8109,0.8069,0.7921,0.8764,0.7917,0.838,0.8109,0.7254,0.7482,0.1724,2.2615,0.9399,0.1457,0.154,0.3088,527.08,0.3125,934.447
office_har_data,2000,rv_w2000,CNN_LSTM,noBN,-1,42,0.85,0.8605,0.8435,0.8539,0.8677,0.85,0.878,0.8605,0.7973,0.8049,0.0523,0.5092,0.8275,0.1864,0.4166,0.3694,2021.3,3.7812,1094.642
office_har_data,2000,rv_w2000,Conv1D,noBN,-1,42,0.7333,0.7404,0.7239,0.713,0.7939,0.7333,0.7749,0.7404,0.6444,0.6674,0.2502,0.8658,0.4831,0.17,1.0869,0.3098,450.22,0.4062,1094.642
office_har_data,2000,rv_w2000,MLP,noBN,-1,42,0.3,0.286,0.2475,0.2303,0.2441,0.3,0.2219,0.286,0.0512,0.0571,0.0999,1.168,0.3871,0.1287,1.1613,0.2584,255.39,0.2969,1094.642
office_har_data,2000,rv_w200,CNN_LSTM,noBN,-1,42,0.75,0.7605,0.7268,0.7066,0.8817,0.75,0.8444,0.7605,0.6711,0.7175,0.2299,1.2705,0.9655,0.0872,0.0932,0.1812,1083.94,1.4219,1410.544
office_har_data,2000,rv_w200,Conv1D,noBN,-1,42,0.8833,0.8878,0.8862,0.8786,0.8976,0.8833,0.8786,0.8878,0.844,0.8468,0.1091,0.5486,0.8155,0.1881,0.4555,0.4007,405.0,0.9062,1410.544
office_har_data,2000,rv_w200,MLP,noBN,-1,42,0.6667,0.6852,0.6648,0.6737,0.6861,0.6667,0.6866,0.6852,0.5536,0.5592,0.2965,4.3524,0.7904,0.2351,0.4967,0.5034,245.11,0.2812,1410.544
office_har_data,2000,rv_w20,CNN_LSTM,noBN,-1,42,0.8833,0.8904,0.8882,0.8758,0.9287,0.8833,0.9028,0.8904,0.8447,0.857,0.0705,0.2674,0.9538,0.0981,0.1345,0.1927,1527.47,2.3438,656.912
office_har_data,2000,rv_w20,Conv1D,noBN,-1,42,0.9167,0.9176,0.9176,0.9126,0.9215,0.9167,0.9104,0.9176,0.8881,0.8891,0.1315,0.3459,0.8557,0.1693,0.3819,0.4186,627.94,0.5938,656.912
office_har_data,2000,rv_w20,MLP,noBN,-1,42,0.8,0.8316,0.7883,0.8035,0.8379,0.8,0.8276,0.8316,0.7345,0.7514,0.1642,2.5864,0.9367,0.148,0.1675,0.2993,343.33,0.4844,656.912
office_har_data,500,rv_w2000,CNN_LSTM,noBN,-1,42,0.9244,0.9295,0.9248,0.9246,0.9302,0.9244,0.9257,0.9295,0.8978,0.8993,0.0655,0.6581,0.9483,0.1113,0.1397,0.2305,2425.8,1.7344,672.015
office_har_data,500,rv_w2000,Conv1D,noBN,-1,42,0.8235,0.8313,0.8151,0.8249,0.8458,0.8235,0.8565,0.8313,0.7598,0.7707,0.1242,0.901,0.8094,0.184,0.4375,0.32,876.61,0.5781,672.015
office_har_data,500,rv_w2000,MLP,noBN,-1,42,0.4832,0.5224,0.4172,0.4518,0.3681,0.4832,0.399,0.5224,0.295,0.3145,0.189,1.0489,0.5362,0.1572,0.9751,0.242,870.73,0.3125,672.015
office_har_data,500,rv_w200,CNN_LSTM,noBN,-1,42,0.9328,0.9415,0.9341,0.9294,0.9429,0.9328,0.9261,0.9415,0.9098,0.9123,0.0559,0.6524,0.9798,0.0699,0.0579,0.1422,1826.8,2.0,745.223
office_har_data,500,rv_w200,Conv1D,noBN,-1,42,0.9412,0.9489,0.9425,0.9384,0.9493,0.9412,0.9347,0.9489,0.921,0.9228,0.0471,0.7713,0.9834,0.0594,0.0544,0.126,760.53,0.4531,745.223
office_har_data,500,rv_w200,MLP,noBN,-1,42,0.8824,0.8943,0.8824,0.884,0.8873,0.8824,0.88,0.8943,0.8417,0.8432,0.0892,0.8389,0.9388,0.1196,0.1704,0.2463,784.7,0.5312,745.223
office_har_data,500,rv_w20,CNN_LSTM,noBN,-1,42,0.9328,0.9387,0.9354,0.9274,0.9458,0.9328,0.9253,0.9387,0.9098,0.9125,0.0537,0.5574,0.9759,0.0631,0.0797,0.1504,2048.25,2.2656,448.553
office_har_data,500,rv_w20,Conv1D,noBN,-1,42,0.937,0.9428,0.9388,0.9322,0.9471,0.937,0.9289,0.9428,0.9154,0.9176,0.0503,0.5602,0.9817,0.0577,0.0622,0.1148,858.0,0.7656,448.553
office_har_data,500,rv_w20,MLP,noBN,-1,42,0.8361,0.8521,0.8383,0.8327,0.8608,0.8361,0.8373,0.8521,0.7815,0.7884,0.1102,1.0681,0.9418,0.1222,0.1632,0.2905,803.66,0.2969,448.553
office_localization_data,1000,rv_w2000,CNN_LSTM,noBN,-1,42,0.91,0.921,0.9106,0.8941,0.9262,0.91,0.8887,0.921,0.8781,0.8827,0.0775,0.6238,0.9875,0.0576,0.0315,0.118,3477.42,8.8906,435.901
office_localization_data,1000,rv_w2000,Conv1D,noBN,-1,42,0.9335,0.941,0.934,0.9227,0.9409,0.9335,0.9142,0.941,0.9095,0.9113,0.054,0.6654,0.9797,0.0732,0.0556,0.1534,1766.02,3.3281,435.901
office_localization_data,1000,rv_w2000,MLP,noBN,-1,42,0.9354,0.9403,0.9348,0.9295,0.9373,0.9354,0.9226,0.9403,0.9118,0.9127,0.0535,0.7795,0.9489,0.1279,0.1404,0.2931,930.61,0.8438,435.901
office_localization_data,1000,rv_w200,CNN_LSTM,noBN,-1,42,0.8845,0.8993,0.885,0.8615,0.9209,0.8845,0.87,0.8993,0.8448,0.8558,0.1004,0.5771,0.9849,0.0634,0.0385,0.1203,2115.72,4.5,506.943
office_localization_data,1000,rv_w200,Conv1D,noBN,-1,42,0.9569,0.961,0.9565,0.9594,0.9579,0.9569,0.9594,0.961,0.9409,0.9417,0.0365,0.5552,0.9795,0.0667,0.0575,0.1448,1025.16,1.8906,506.943
office_localization_data,1000,rv_w200,MLP,noBN,-1,42,0.9237,0.9257,0.9228,0.9207,0.9247,0.9237,0.9184,0.9257,0.8954,0.8965,0.0625,1.2434,0.9459,0.1174,0.1363,0.2672,946.58,0.7969,506.943
office_localization_data,1000,rv_w20,CNN_LSTM,noBN,-1,42,0.9667,0.9694,0.9664,0.9657,0.9686,0.9667,0.9644,0.9694,0.9544,0.9554,0.0185,0.1107,0.9838,0.0616,0.0453,0.1328,2210.09,5.375,934.447
office_localization_data,1000,rv_w20,Conv1D,noBN,-1,42,0.953,0.9577,0.9524,0.9527,0.9564,0.953,0.9519,0.9577,0.9357,0.9374,0.0424,0.7858,0.9919,0.0431,0.0232,0.0897,1172.2,2.0781,934.447
office_localization_data,1000,rv_w20,MLP,noBN,-1,42,0.8904,0.8835,0.8902,0.8727,0.8963,0.8904,0.869,0.8835,0.8504,0.8526,0.093,2.011,0.9827,0.0643,0.0461,0.1274,998.48,0.9688,934.447
office_localization_data,2000,rv_w2000,CNN_LSTM,noBN,-1,42,0.9094,0.9232,0.9101,0.8922,0.9307,0.9094,0.8892,0.9232,0.8776,0.8837,0.0662,0.3762,0.9757,0.0743,0.0685,0.1477,3288.0,9.3125,1094.642
office_localization_data,2000,rv_w2000,Conv1D,noBN,-1,42,0.9094,0.9231,0.9101,0.8967,0.9233,0.9094,0.8892,0.9231,0.8773,0.881,0.0474,0.4978,0.9529,0.1097,0.1309,0.2376,1452.39,5.375,1094.642
office_localization_data,2000,rv_w2000,MLP,noBN,-1,42,0.8701,0.8186,0.867,0.8342,0.8775,0.8701,0.8729,0.8186,0.8195,0.823,0.0679,1.0174,0.9261,0.1403,0.2062,0.3294,737.47,1.4219,1094.642
office_localization_data,2000,rv_w200,CNN_LSTM,noBN,-1,42,0.8622,0.8832,0.8639,0.8379,0.9104,0.8622,0.8531,0.8832,0.8158,0.8304,0.1198,0.6237,0.9792,0.073,0.0536,0.1459,2046.41,6.0312,1410.544
office_localization_data,2000,rv_w200,Conv1D,noBN,-1,42,0.9094,0.9233,0.9059,0.8963,0.9258,0.9094,0.8958,0.9233,0.8771,0.8839,0.0472,0.462,0.9312,0.1247,0.1678,0.2566,576.48,1.9219,1410.544
office_localization_data,2000,rv_w200,MLP,noBN,-1,42,0.8898,0.9064,0.8907,0.8742,0.9126,0.8898,0.8719,0.9064,0.8511,0.8576,0.0968,1.303,0.9828,0.0706,0.0472,0.1502,546.06,1.7812,1410.544
office_localization_data,2000,rv_w20,CNN_LSTM,noBN,-1,42,0.878,0.8967,0.8744,0.8551,0.9177,0.878,0.8691,0.8967,0.8358,0.8493,0.1005,0.4842,0.9784,0.0717,0.057,0.1438,2770.7,6.125,656.912
office_localization_data,2000,rv_w20,Conv1D,noBN,-1,42,0.9567,0.9633,0.9561,0.9581,0.961,0.9567,0.9577,0.9633,0.9406,0.9427,0.0348,0.7078,0.9818,0.0587,0.058,0.12,1421.11,3.0,656.912
office_localization_data,2000,rv_w20,MLP,noBN,-1,42,0.8071,0.8364,0.8018,0.7753,0.8912,0.8071,0.8258,0.8364,0.7444,0.772,0.1779,2.696,0.9742,0.0875,0.058,0.1566,699.88,1.2031,656.912
office_localization_data,500,rv_w2000,CNN_LSTM,noBN,-1,42,0.9161,0.9249,0.9168,0.9024,0.9275,0.9161,0.8949,0.9249,0.8862,0.8891,0.0781,0.6926,0.9942,0.0388,0.0154,0.081,3488.38,6.375,672.015
office_localization_data,500,rv_w2000,Conv1D,noBN,-1,42,0.922,0.9253,0.9228,0.9092,0.9289,0.922,0.9012,0.9253,0.8938,0.8953,0.0667,0.6458,0.9884,0.0474,0.0368,0.1116,1473.44,3.5781,672.015
office_localization_data,500,rv_w2000,MLP,noBN,-1,42,0.9229,0.9284,0.9232,0.9111,0.9296,0.9229,0.9029,0.9284,0.8951,0.8969,0.0554,0.8205,0.971,0.0847,0.082,0.1877,1916.62,2.2812,672.015
office_localization_data,500,rv_w200,CNN_LSTM,noBN,-1,42,0.8888,0.9027,0.8872,0.867,0.9194,0.8888,0.8736,0.9027,0.8501,0.8602,0.0979,0.8057,0.9867,0.0577,0.0349,0.1204,3251.5,10.9219,745.223
office_localization_data,500,rv_w200,Conv1D,noBN,-1,42,0.9473,0.9504,0.9468,0.9427,0.9495,0.9473,0.9384,0.9504,0.9279,0.9291,0.0421,0.7958,0.9878,0.0513,0.0366,0.111,1503.42,3.7344,745.223
office_localization_data,500,rv_w200,MLP,noBN,-1,42,0.8995,0.9085,0.8971,0.8879,0.9066,0.8995,0.8819,0.9085,0.8633,0.8669,0.0576,1.0085,0.9571,0.1035,0.1137,0.2197,2000.58,1.1875,745.223
office_localization_data,500,rv_w20,CNN_LSTM,noBN,-1,42,0.9483,0.9536,0.9476,0.9421,0.9538,0.9483,0.938,0.9536,0.9294,0.9317,0.0472,0.4442,0.9904,0.0519,0.025,0.1041,3185.42,8.9844,448.553
office_localization_data,500,rv_w20,Conv1D,noBN,-1,42,0.9434,0.946,0.9426,0.9366,0.9471,0.9434,0.9327,0.946,0.9227,0.9245,0.0455,0.6504,0.989,0.0511,0.0294,0.1053,3178.47,3.4219,448.553
office_localization_data,500,rv_w20,MLP,noBN,-1,42,0.8878,0.9019,0.8853,0.8729,0.9066,0.8878,0.8728,0.9019,0.8481,0.8552,0.0909,1.0633,0.9787,0.075,0.0534,0.1534,1908.67,1.2344,448.553
