n,rv20,rv200,rv2000
0,0.0000,0.0000,0.0000
5,0.0308,0.0308,0.0308
10,0.1211,0.1211,0.1211
15,0.2280,0.2280,0.2280
20,0.2176,0.2075,0.2075
25,0.2737,0.2217,0.2217
30,0.4048,0.3114,0.3114
35,0.4389,0.3609,0.3609
40,0.4823,0.3529,0.3529
45,0.3579,0.3271,0.3271
50,0.3928,0.3531,0.3531
55,0.2973,0.3405,0.3405
60,0.1983,0.3334,0.3334
65,0.2327,0.3282,0.3282
70,0.1980,0.3327,0.3327
75,0.2519,0.3535,0.3535
80,0.2261,0.3493,0.3493
85,0.2307,0.3392,0.3392
90,0.2167,0.3349,0.3349
95,0.1983,0.3227,0.3227
100,0.1991,0.3196,0.3196
105,0.2713,0.3266,0.3266
110,0.4970,0.3836,0.3836
115,0.6195,0.4108,0.4108
120,0.4655,0.4266,0.4266
125,0.3205,0.4381,0.4381
130,0.2707,0.4423,0.4423
135,0.3939,0.5221,0.5221
140,0.5241,0.6203,0.6203
145,0.4462,0.7021,0.7021
150,0.2436,0.7261,0.7261
155,0.2514,0.7926,0.7926
160,0.2075,0.8550,0.8550
165,0.2080,0.9118,0.9118
170,0.1622,0.9962,0.9962
175,0.2029,1.0838,1.0838
180,0.1782,1.1447,1.1447
185,0.1012,1.2073,1.2073
190,0.1242,1.2447,1.2447
195,0.1762,1.3115,1.3115
200,0.1486,1.3512,1.3456
205,0.1699,1.3804,1.3534
210,0.1947,1.4485,1.3988
215,0.1506,1.4531,1.3990
220,0.1568,1.4753,1.4034
225,0.2146,1.5460,1.4507
230,0.2181,1.5263,1.4724
235,0.1643,1.4942,1.4831
240,0.1384,1.5106,1.4848
245,0.1372,1.5075,1.5030
250,0.1250,1.4510,1.4957
255,0.1476,1.3961,1.4934
260,0.1759,1.3291,1.4845
265,0.1674,1.2595,1.4706
270,0.4154,1.1958,1.4679
275,0.4267,1.0587,1.4682
280,0.4709,0.9429,1.4688
285,0.4384,0.8607,1.4620
290,0.1425,0.7612,1.4571
295,0.2457,0.6936,1.4369
300,0.2241,0.5683,1.4250
305,0.2291,0.4732,1.4088
310,0.2968,0.4629,1.3987
315,0.3139,0.4300,1.3800
320,0.3169,0.3948,1.3622
325,0.3082,0.3584,1.3436
330,0.1884,0.3229,1.3264
335,0.1602,0.3296,1.3080
340,0.1067,0.3349,1.2889
345,0.0896,0.3460,1.2713
350,0.0772,0.3565,1.2552
355,0.0805,0.3686,1.2391
360,0.0798,0.3810,1.2221
365,0.1764,0.4129,1.2124
370,0.1671,0.4239,1.1973
375,0.1696,0.4303,1.1838
380,0.2292,0.4265,1.1703
385,0.1145,0.4219,1.1556
390,0.1267,0.4231,1.1430
395,0.1630,0.4144,1.1332
400,0.1634,0.4097,1.1207
405,0.1989,0.4116,1.1094
410,0.1861,0.3981,1.0968
415,0.1009,0.3972,1.0840
420,0.1409,0.3949,1.0752
425,0.1435,0.3654,1.0654
430,0.1987,0.3520,1.0617
435,0.2774,0.3513,1.0605
440,0.3404,0.3617,1.0652
445,0.3114,0.3525,1.0658
450,1.3641,0.4868,1.1268
455,1.3092,0.4938,1.1277
460,1.2798,0.5052,1.1299
465,1.2660,0.5120,1.1281
470,0.1786,0.4989,1.1270
475,0.1218,0.5061,1.1300
480,0.1686,0.4948,1.1220
485,0.1208,0.4913,1.1165
490,0.1550,0.4898,1.1121
495,0.1338,0.5034,1.1135
500,0.1182,0.5100,1.1119
505,0.1337,0.5102,1.1057
510,0.1538,0.4990,1.0973
515,0.1364,0.4957,1.0897
520,0.1189,0.4924,1.0836
525,0.1795,0.4956,1.0826
530,0.2601,0.5102,1.0863
535,0.2699,0.5245,1.0902
540,0.2465,0.5397,1.0956
545,0.2419,0.5401,1.0961
550,0.1835,0.5274,1.0931
555,0.1983,0.5372,1.0996
560,0.2136,0.5354,1.1006
565,0.2369,0.5136,1.1059
570,0.2562,0.4941,1.1018
575,0.2325,0.4756,1.1023
580,0.1808,0.4749,1.1038
585,0.1814,0.4690,1.1039
590,0.1771,0.4504,1.0982
595,0.1789,0.4274,1.0975
600,0.2325,0.4180,1.0930
605,0.1554,0.4006,1.0880
610,0.1854,0.3727,1.0823
615,0.1998,0.3562,1.0797
620,0.2529,0.3584,1.0762
625,0.2985,0.3494,1.0703
630,0.3663,0.3548,1.0658
635,0.3137,0.3476,1.0599
640,0.2697,0.3529,1.0554
645,0.2353,0.3471,1.0500
650,0.1477,0.2371,1.0440
655,0.1210,0.2303,1.0381
660,0.1311,0.2357,1.0375
665,0.1403,0.2318,1.0344
670,0.1701,0.2361,1.0289
675,0.1763,0.2341,1.0247
680,0.1164,0.2309,1.0198
685,0.1466,0.2362,1.0154
690,0.1459,0.2367,1.0095
695,0.1515,0.2429,1.0027
700,0.1476,0.2457,0.9967
705,0.1344,0.2586,0.9908
710,0.1567,0.2574,0.9860
715,0.1978,0.2607,0.9811
720,0.3163,0.2746,0.9785
725,0.3232,0.2723,0.9761
730,0.3495,0.2672,0.9744
735,0.3386,0.2653,0.9703
740,0.2757,0.2660,0.9650
745,0.2821,0.2651,0.9605
750,0.1924,0.2658,0.9546
755,0.1785,0.2640,0.9495
760,0.1564,0.2574,0.9442
765,0.1679,0.2453,0.9405
770,0.2228,0.2492,0.9364
775,0.2287,0.2513,0.9318
780,0.2152,0.2410,0.9268
785,0.2186,0.2344,0.9231
790,0.1789,0.2344,0.9187
795,0.1103,0.2283,0.9158
800,0.1362,0.2236,0.9108
805,0.1435,0.2281,0.9079
810,0.1821,0.2315,0.9060
815,0.1905,0.2271,0.9035
820,0.1721,0.2234,0.9026
825,0.1493,0.2232,0.8996
830,0.1654,0.2229,0.8988
835,0.1596,0.2255,0.8978
840,0.1501,0.2206,0.8947
845,0.1695,0.2231,0.8906
850,0.2214,0.2307,0.8868
855,0.2210,0.2355,0.8850
860,0.2545,0.2322,0.8809
865,0.2444,0.2307,0.8767
870,0.1760,0.2277,0.8723
875,0.1659,0.2298,0.8700
880,0.1990,0.2377,0.8676
885,0.1948,0.2355,0.8649
890,0.3264,0.2451,0.8618
895,0.3317,0.2474,0.8601
900,0.2308,0.2444,0.8560
905,0.2678,0.2412,0.8547
910,0.1103,0.2412,0.8529
915,0.1218,0.2402,0.8507
920,0.1802,0.2362,0.8514
925,0.2469,0.2516,0.8544
930,0.2573,0.2534,0.8540
935,0.2131,0.2531,0.8527
940,0.1754,0.2495,0.8524
945,0.1757,0.2464,0.8486
950,0.1725,0.2483,0.8468
955,0.1770,0.2375,0.8444
960,0.1779,0.2383,0.8434
965,0.1447,0.2358,0.8410
970,0.2250,0.2431,0.8434
975,0.2237,0.2319,0.8422
980,0.2451,0.2463,0.8463
985,0.2986,0.2570,0.8496
990,0.3534,0.2622,0.8475
995,0.3265,0.2621,0.8450
1000,0.2804,0.2575,0.8428
1005,0.2007,0.2583,0.8412
1010,0.1522,0.2570,0.8381
1015,0.1996,0.2621,0.8354
1020,0.2057,0.2633,0.8325
1025,0.1444,0.2631,0.8288
1030,0.1446,0.2611,0.8256
1035,0.1760,0.2745,0.8229
1040,0.1482,0.2804,0.8194
1045,0.2129,0.2903,0.8171
1050,0.3080,0.3146,0.8170
1055,0.3574,0.3438,0.8164
1060,0.3364,0.3450,0.8133
1065,0.3375,0.3511,0.8107
1070,0.2645,0.3659,0.8082
1075,0.1692,0.3680,0.8049
1080,0.1864,0.3662,0.8020
1085,0.1561,0.3793,0.7995
1090,0.1839,0.3840,0.7979
1095,0.2461,0.3857,0.7953
1100,0.2672,0.3917,0.7926
1105,0.2701,0.3933,0.7900
1110,0.2085,0.3965,0.7873
1115,0.2040,0.3967,0.7848
1120,0.1763,0.3835,0.7818
1125,0.1665,0.3674,0.7791
1130,0.1381,0.3601,0.7760
1135,0.1136,0.3544,0.7734
1140,0.1844,0.3507,0.7718
1145,0.1681,0.3517,0.7693
1150,0.2305,0.3536,0.7674
1155,0.2324,0.3508,0.7650
1160,0.2483,0.3513,0.7643
1165,0.2280,0.3480,0.7616
1170,0.1363,0.3259,0.7590
1175,0.1428,0.3190,0.7568
1180,0.1162,0.2910,0.7544
1185,0.1264,0.2639,0.7523
1190,0.1802,0.2694,0.7522
1195,0.2160,0.2799,0.7524
1200,0.1464,0.2836,0.7516
1205,0.2464,0.2823,0.7502
1210,0.2647,0.2871,0.7488
1215,0.3322,0.3050,0.7503
1220,0.3515,0.3123,0.7497
1225,0.3159,0.3256,0.7496
1230,0.2910,0.3267,0.7475
1235,0.1986,0.3248,0.7462
1240,0.1515,0.3308,0.7455
1245,0.1103,0.3307,0.7451
1250,0.1309,0.3171,0.7455
1255,0.2025,0.3013,0.7452
1260,0.2434,0.2975,0.7439
1265,0.2334,0.2973,0.7437
1270,0.2032,0.2911,0.7436
1275,0.1473,0.2914,0.7433
1280,0.1215,0.2959,0.7451
1285,0.1933,0.3120,0.7515
1290,0.2266,0.3233,0.7589
1295,0.2208,0.3606,0.7683
1300,0.1603,0.3665,0.7721
1305,0.1920,0.3635,0.7744
1310,0.2168,0.3517,0.7746
1315,0.1258,0.3669,0.7813
1320,0.1677,0.3886,0.7883
1325,0.1993,0.3838,0.7910
1330,0.1469,0.3834,0.7956
1335,0.3800,0.3873,0.7947
1340,0.4871,0.3869,0.7922
1345,0.5646,0.4008,0.7901
1350,0.3404,0.3845,0.7895
1355,0.4528,0.3861,0.7919
1360,0.7052,0.4072,0.8001
1365,0.4344,0.4284,0.8091
1370,0.2532,0.4561,0.8211
1375,0.2521,0.5033,0.8373
1380,0.2683,0.5627,0.8609
1385,0.1826,0.6209,0.8816
1390,0.2784,0.6723,0.8990
1395,0.2960,0.7070,0.9132
1400,0.2643,0.7315,0.9279
1405,0.2650,0.7438,0.9448
1410,0.1413,0.7555,0.9598
1415,0.2070,0.8053,0.9819
1420,0.2313,0.8199,0.9984
1425,0.2259,0.8379,1.0167
1430,0.2346,0.8410,1.0338
1435,0.1732,0.8424,1.0481
1440,0.1786,0.8311,1.0569
1445,0.2061,0.8108,1.0624
1450,0.1527,0.7885,1.0667
1455,0.1803,0.7625,1.0709
1460,0.1908,0.7273,1.0780
1465,0.2704,0.7146,1.0851
1470,0.3179,0.6966,1.0927
1475,0.2795,0.6745,1.0954
1480,0.2536,0.6613,1.0988
1485,0.2055,0.6651,1.1022
1490,0.1738,0.6638,1.1087
1495,0.1623,0.6601,1.1125
1500,0.1868,0.6586,1.1157
1505,0.1632,0.6517,1.1179
1510,0.1672,0.6318,1.1248
1515,0.1624,0.6338,1.1288
1520,0.1974,0.6413,1.1288
1525,0.2394,0.6353,1.1315
1530,0.2210,0.6338,1.1342
1535,0.2382,0.5855,1.1376
1540,0.2235,0.5093,1.1396
1545,0.1765,0.4004,1.1409
1550,0.1370,0.3517,1.1435
1555,0.1074,0.3453,1.1457
1560,0.0772,0.3399,1.1475
1565,0.1521,0.3506,1.1486
1570,0.1771,0.3566,1.1501
1575,0.1441,0.3550,1.1508
1580,0.1552,0.3387,1.1521
1585,0.0911,0.3273,1.1531
1590,0.1320,0.3197,1.1533
1595,0.1707,0.3176,1.1546
1600,0.2189,0.3133,1.1581
1605,0.2019,0.3005,1.1586
1610,0.1912,0.2983,1.1590
1615,0.1667,0.2690,1.1582
1620,0.1650,0.2547,1.1606
1625,0.1967,0.2366,1.1598
1630,0.2409,0.2174,1.1649
1635,0.2332,0.2017,1.1660
1640,0.2249,0.2009,1.1676
1645,0.1851,0.2004,1.1673
1650,0.1320,0.2022,1.1683
1655,0.1524,0.1965,1.1696
1660,0.2163,0.2011,1.1735
1665,0.2509,0.1950,1.1735
1670,0.2487,0.1885,1.1754
1675,0.3112,0.1944,1.1791
1680,0.3098,0.2047,1.1769
1685,0.2975,0.2030,1.1780
1690,0.3379,0.2042,1.1791
1695,0.3058,0.2112,1.1790
1700,0.2867,0.2119,1.1808
1705,0.2827,0.2137,1.1800
1710,0.3377,0.2197,1.1805
1715,0.3004,0.2210,1.1815
1720,0.2448,0.2174,1.1808
1725,0.3201,0.2209,1.1819
1730,0.2663,0.2265,1.1800
1735,0.2372,0.2226,1.1810
1740,0.2767,0.2228,1.1814
1745,0.1817,0.2224,1.1808
1750,0.1504,0.2266,1.1803
1755,0.1152,0.2228,1.1801
1760,0.1062,0.2247,1.1810
1765,0.1475,0.2216,1.1802
1770,0.1548,0.2244,1.1821
1775,0.2486,0.2351,1.1853
1780,0.2823,0.2420,1.1887
1785,0.2175,0.2480,1.1919
1790,0.1878,0.2459,1.1945
1795,0.1540,0.2541,1.1994
1800,0.1512,0.2586,1.2038
1805,0.2903,0.2702,1.2046
1810,0.5140,0.2790,1.2017
1815,0.4823,0.2911,1.1989
1820,0.2933,0.3034,1.1963
1825,0.1689,0.3062,1.1951
1830,0.3018,0.3027,1.1960
1835,0.3756,0.3124,1.1960
1840,0.3160,0.3153,1.1939
1845,0.3180,0.3181,1.1954
1850,0.2909,0.3186,1.1970
1855,0.2420,0.3214,1.1956
1860,0.6351,0.3624,1.1933
1865,0.7030,0.3969,1.1915
1870,0.4610,0.4001,1.1894
1875,0.4016,0.4005,1.1871
1880,0.3188,0.4132,1.1844
1885,0.2370,0.4412,1.1816
1890,0.2109,0.4378,1.1793
1895,0.2293,0.4349,1.1774
1900,0.2770,0.4399,1.1756
1905,0.2016,0.4418,1.1738
1910,0.2367,0.4361,1.1719
1915,0.2305,0.4358,1.1696
1920,0.3042,0.4637,1.1676
1925,0.3065,0.4744,1.1650
1930,0.2221,0.4831,1.1621
1935,0.2036,0.5090,1.1600
1940,0.1968,0.5263,1.1580
1945,0.1881,0.5408,1.1553
1950,0.1835,0.5572,1.1528
1955,0.1417,0.5644,1.1501
1960,0.0858,0.5799,1.1479
1965,0.1024,0.5852,1.1453
1970,0.1358,0.5901,1.1434
1975,0.1732,0.5760,1.1412
1980,0.1672,0.5574,1.1388
1985,0.2159,0.5378,1.1369
1990,0.1731,0.5140,1.1343
1995,0.1826,0.4893,1.1332
2000,0.1942,0.4401,1.1290
2005,0.1452,0.4156,1.1168
2010,0.1914,0.4291,1.1072
2015,0.1566,0.4399,1.0939
2020,0.1805,0.4505,1.0840
2025,0.1758,0.4498,1.0762
2030,0.2181,0.4252,1.0544
2035,0.2553,0.4095,1.0349
2040,0.2640,0.4087,1.0274
2045,0.2028,0.3650,1.0120
2050,0.1795,0.3258,0.9949
2055,0.1783,0.3052,0.9758
2060,0.2254,0.3111,0.9583
2065,0.2663,0.3082,0.9420
2070,0.1994,0.2951,0.9238
2075,0.2095,0.2884,0.8975
2080,0.1200,0.2839,0.8748
2085,0.1766,0.2934,0.8597
2090,0.2154,0.2858,0.8431
2095,0.1715,0.2670,0.8306
2100,0.2026,0.2514,0.8115
2105,0.1451,0.2373,0.7988
2110,0.1629,0.2179,0.7943
2115,0.1816,0.2020,0.7875
2120,0.1556,0.1923,0.7791
2125,0.1163,0.1914,0.7715
2130,0.1538,0.1943,0.7642
2135,0.1687,0.1931,0.7639
2140,0.2049,0.1888,0.7639
2145,0.2188,0.1912,0.7650
2150,0.1961,0.1999,0.7643
2155,0.1687,0.1995,0.7658
2160,0.1881,0.2044,0.7666
2165,0.2277,0.2028,0.7670
2170,0.1872,0.2029,0.7680
2175,0.2559,0.2048,0.7696
2180,0.2624,0.2112,0.7695
2185,0.2150,0.2033,0.7697
2190,0.3213,0.2264,0.7704
2195,0.2053,0.2344,0.7699
2200,0.2637,0.2496,0.7706
2205,0.3562,0.2853,0.7717
2210,0.2797,0.3159,0.7724
2215,0.2510,0.3471,0.7727
2220,0.2313,0.3827,0.7743
2225,0.2153,0.4012,0.7751
2230,0.2823,0.4469,0.7774
2235,0.3600,0.4666,0.7788
2240,0.2776,0.4766,0.7792
2245,0.3346,0.4897,0.7797
2250,0.2485,0.4920,0.7797
2255,0.2251,0.4981,0.7797
2260,0.2255,0.4993,0.7795
2265,0.2017,0.5009,0.7787
2270,0.1775,0.4982,0.7746
2275,0.1811,0.5021,0.7750
2280,0.1835,0.5084,0.7750
2285,0.2138,0.5215,0.7764
2290,0.2276,0.5365,0.7783
2295,0.1768,0.5345,0.7760
2300,0.2132,0.5331,0.7756
2305,0.2842,0.5083,0.7741
2310,0.2558,0.5078,0.7720
2315,0.2804,0.5078,0.7699
2320,0.2627,0.5085,0.7666
2325,0.2237,0.4979,0.7629
2330,0.1725,0.4899,0.7600
2335,0.1973,0.4773,0.7575
2340,0.2434,0.4580,0.7540
2345,0.2269,0.4250,0.7497
2350,0.2387,0.3955,0.7449
2355,0.2236,0.3645,0.7414
2360,0.1879,0.3407,0.7368
2365,0.1992,0.3212,0.7294
2370,0.1347,0.3009,0.7242
2375,0.1806,0.2881,0.7198
2380,0.2173,0.2844,0.7172
2385,0.2734,0.2856,0.7144
2390,0.2841,0.2735,0.7106
2395,0.1720,0.2738,0.7058
2400,0.1681,0.2693,0.7024
2405,0.1126,0.2692,0.6995
2410,0.1079,0.2736,0.6947
2415,0.1183,0.2761,0.6911
2420,0.1622,0.2759,0.6898
2425,0.2410,0.2848,0.6882
2430,0.2431,0.2747,0.6876
2435,0.2322,0.2682,0.6861
2440,0.1555,0.2711,0.6861
2445,0.1485,0.2859,0.6874
2450,0.2802,0.2971,0.6785
2455,0.2793,0.3081,0.6791
2460,0.2716,0.3125,0.6798
2465,0.2498,0.3090,0.6795
2470,0.2057,0.3320,0.6819
2475,0.2298,0.3328,0.6827
2480,0.2655,0.3355,0.6823
2485,0.2417,0.3303,0.6840
2490,0.2063,0.3123,0.6842
2495,0.2126,0.3135,0.6855
2500,0.2006,0.3138,0.6868
2505,0.1997,0.3193,0.6879
2510,0.1427,0.3099,0.6869
